City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Santa Cruz De La Palma,ES,2022-04-04 16:56:07,28.6835,-17.7642,65.14,63,40,19.57
121,Mar Del Plata,AR,2022-04-04 16:55:07,-38.0023,-57.5575,69.87,33,0,13.8
122,Mundargi,IN,2022-04-04 16:56:07,15.2167,75.9,89.4,25,68,5.12
123,Saint-Junien,FR,2022-04-04 16:56:07,45.8833,0.9,50.85,47,1,4.85
124,Smolensk,RU,2022-04-04 16:56:08,55.0,33.0,29.8,87,67,7.18
125,Barrow,US,2022-04-04 16:52:37,71.2906,-156.7887,-5.78,77,100,16.11
126,Dikson,RU,2022-04-04 16:53:27,73.5069,80.5464,-4.23,96,12,7.31
127,Coquimbo,CL,2022-04-04 16:54:33,-29.9533,-71.3436,56.93,94,100,11.5
128,Hilo,US,2022-04-04 16:56:08,19.7297,-155.09,69.53,90,100,6.91
129,Parrita,CR,2022-04-04 16:56:09,9.5201,-84.3225,86.36,64,99,5.79
130,Lompoc,US,2022-04-04 16:56:09,34.6391,-120.4579,65.84,76,20,18.01
131,Flinders,AU,2022-04-04 16:56:09,-34.5833,150.8552,62.06,77,0,1.99
132,Severo-Kurilsk,RU,2022-04-04 16:56:09,50.6789,156.125,32.4,79,8,5.84
133,Fort Nelson,CA,2022-04-04 16:56:10,58.8053,-122.7002,29.79,64,75,4.61
134,Siyabuswa,ZA,2022-04-04 16:54:14,-25.1132,29.0445,63.84,89,98,2.91
135,Puerto Ayora,EC,2022-04-04 16:56:10,-0.7393,-90.3518,85.96,87,80,5.01
136,Nieuw Nickerie,SR,2022-04-04 16:56:11,5.95,-56.9833,79.18,85,84,10.71
137,Sao Filipe,CV,2022-04-04 16:53:38,14.8961,-24.4956,71.49,74,9,11.27
138,Celestun,MX,2022-04-04 16:57:11,20.8667,-90.4,87.84,52,0,7.54
139,Sao Joao Da Barra,BR,2022-04-04 16:57:11,-21.6403,-41.0511,87.89,72,6,10.09
140,Port Hedland,AU,2022-04-04 16:57:12,-20.3167,118.5667,82.45,83,0,9.22
141,San Cristobal,VE,2022-04-04 16:57:12,7.7669,-72.225,82.58,45,100,9.6
142,Rio Cuarto,AR,2022-04-04 16:57:12,-33.1307,-64.3499,78.48,24,0,17.27
143,Lufilufi,WS,2022-04-04 16:57:13,-13.8745,-171.5986,73.18,74,98,11.61
144,Hithadhoo,MV,2022-04-04 16:53:33,-0.6,73.0833,83.77,67,55,3.83
145,Qaanaaq,GL,2022-04-04 16:57:13,77.484,-69.3632,20.57,74,98,8.14
146,Oxford,GB,2022-04-04 16:52:41,51.7522,-1.256,58.17,77,100,11.5
147,Merauke,ID,2022-04-04 16:57:13,-8.4667,140.3333,78.8,85,95,7.9
148,Yatou,CN,2022-04-04 16:57:14,37.15,122.3833,44.71,75,34,11.07
149,Nanortalik,GL,2022-04-04 16:53:57,60.1432,-45.2371,37.53,76,100,4.5
150,Hasaki,JP,2022-04-04 16:57:14,35.7333,140.8333,46.8,92,100,33.8
151,Erdenet,MN,2022-04-04 16:57:15,49.0333,104.0833,23.04,51,98,5.84
152,Shieli,KZ,2022-04-04 16:57:15,44.1667,66.75,70.14,29,0,8.59
153,Balykshi,KZ,2022-04-04 16:57:15,47.0667,51.8667,53.6,50,75,11.18
154,Farah,AF,2022-04-04 16:57:16,32.5,62.5,75.25,9,0,2.17
155,Maningrida,AU,2022-04-04 16:57:16,-12.0667,134.2667,79.84,74,31,5.3
156,Nouadhibou,MR,2022-04-04 16:57:16,20.931,-17.0347,71.58,68,20,12.66
157,San Patricio,US,2022-04-04 16:57:17,28.017,-97.5169,81.18,62,85,17.94
158,Naze,JP,2022-04-04 16:52:40,28.3667,129.4833,50.92,53,0,5.06
159,Amazar,RU,2022-04-04 16:57:17,53.858,120.875,13.69,92,97,4.07
160,Tuatapere,NZ,2022-04-04 16:57:18,-46.1333,167.6833,55.31,85,100,5.84
161,Kirkland Lake,CA,2022-04-04 16:57:18,48.1446,-80.0377,41.29,45,99,1.81
162,Bay Roberts,CA,2022-04-04 16:57:18,47.5999,-53.2648,50.5,62,94,6.89
163,Kamwenge,UG,2022-04-04 16:57:19,0.1866,30.4539,70.23,73,92,1.05
164,Likasi,CD,2022-04-04 16:57:19,-10.9814,26.7333,64.98,94,78,3.4
165,Terrak,NO,2022-04-04 16:57:19,65.087,12.3715,33.67,75,58,4.21
166,Castro,BR,2022-04-04 16:49:21,-24.7911,-50.0119,75.67,75,17,7.96
167,Bonavista,CA,2022-04-04 16:54:57,48.6499,-53.1147,36.59,78,64,6.91
168,San Juan,AR,2022-04-04 16:57:20,-31.5375,-68.5364,72.16,24,1,5.12
169,Torbay,CA,2022-04-04 16:52:39,47.6666,-52.7314,47.17,49,75,6.91
170,Butaritari,KI,2022-04-04 16:52:33,3.0707,172.7902,81.3,79,98,15.14
171,Nueva Helvecia,UY,2022-04-04 16:57:20,-34.3,-57.2333,66.6,25,1,7.99
172,Fagersta,SE,2022-04-04 16:57:21,60.0042,15.7932,30.65,96,100,13.33
