City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Waingapu,ID,-9.6567,120.2641,78.01,85,97,2.13,overcast clouds
157,Norman Wells,CA,65.282,-126.8329,15.84,73,20,4.61,few clouds
158,Saint-Pierre,RE,-21.3393,55.4781,75.9,87,75,16.11,broken clouds
159,Leshukonskoye,RU,64.8989,45.7622,34.21,85,95,10.71,overcast clouds
160,Polovinnoye,RU,54.7914,65.9864,33.57,79,34,4.85,scattered clouds
161,Colwyn Bay,GB,53.2948,-3.7267,48.22,71,87,8.01,overcast clouds
162,Male,MV,4.1748,73.5089,85.06,64,8,6.89,clear sky
163,Necochea,AR,-38.5473,-58.7368,67.48,63,76,5.64,broken clouds
164,San Quintin,MX,30.4833,-115.95,77.4,25,14,2.73,few clouds
165,Kalengwa,ZM,-13.4659,25.0027,67.41,88,100,3.24,overcast clouds
166,Berdigestyakh,RU,62.0989,126.6992,8.35,96,38,4.29,scattered clouds
167,Port Alfred,ZA,-33.5906,26.891,58.17,92,100,12.48,overcast clouds
168,Vredendal,ZA,-31.6683,18.5012,77.7,16,1,17.09,clear sky
169,Tortoli,IT,39.9256,9.6572,68.27,45,2,7.61,clear sky
170,Hami,CN,42.8,93.45,71.78,15,22,8.3,few clouds
171,Davila,PH,18.4726,120.5763,78.78,88,78,22.68,broken clouds
172,Geraldton,AU,-28.7667,114.6,68.41,88,75,11.5,broken clouds
173,Mount Pleasant,US,32.7941,-79.8626,68.0,32,0,14.97,clear sky
174,Guerrero Negro,MX,27.9769,-114.0611,74.53,33,70,4.05,broken clouds
175,Ouargaye,BF,11.5033,0.0572,105.21,17,50,3.15,scattered clouds
176,Bagdarin,RU,54.4333,113.6,16.93,86,19,4.74,few clouds
177,Caravelas,BR,-17.7125,-39.2481,84.29,63,24,8.23,few clouds
178,Shache,CN,38.4167,77.2406,72.32,10,13,6.06,few clouds
179,Taywarah,AF,33.35,64.4167,56.53,25,75,6.38,broken clouds
180,Pauini,BR,-7.7136,-66.9764,86.31,69,90,3.47,overcast clouds
181,Ponta Do Sol,PT,32.6667,-17.1,67.01,71,65,2.84,broken clouds
